"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2015-12-11","104.15","104.34","101.91","102.12","26427727.0","56.91157","57.6592","56.12934","56.89731","102.2653","90.0188","105.16217","104.61538"
"FB","2015-12-10","105.05","106.4","104.41","105.42","17454312.0","56.85891","57.60716","56.0783","56.84689","102.0419","89.90305","105.62417","104.61232"
"FB","2015-12-09","106.18","106.44","103.55","104.6","23517268.0","56.80513","57.5527","56.02436","56.79268","101.7281","89.778","105.69325","104.46754"
"FB","2015-12-08","104.0","106.91","103.95","106.49","20401791.0","56.74996","57.49808","55.97126","56.73927","101.3695","89.6528","105.86925","104.34085"
"FB","2015-12-07","106.48","106.83","104.66","105.61","15474890.0","56.69711","57.44281","55.91759","56.68362","101.0239","89.5126","105.78858","104.12649"
"FB","2015-12-04","104.81","107.73","104.11","106.18","21224721.0","56.64136","57.3875","55.86301","56.62883","100.7671","89.37875","105.80408","103.93658"
"FB","2015-12-03","106.27","106.85","103.35","104.38","23236485.0","56.58736","57.33106","55.80892","56.57328","100.5317","89.24732","105.76367","103.71507"
"FB","2015-12-02","107.0","107.92","105.79","106.07","24429063.0","56.5316","57.27549","55.75556","56.51962","100.3235","89.12252","105.98683","103.556"
"FB","2015-12-01","104.83","107.15","104.5","107.12","22781868.0","56.47489","57.21858","55.69934","56.46395","100.0613","88.97572","106.01408","103.32036"
"FB","2015-11-30","105.84","106.0999","103.75","104.24","20383179.0","56.4205","57.16242","55.64445","56.40697","99.8299","88.81812","105.90483","103.03447"
"FB","2015-11-27","105.78","105.96","104.86","105.45","5913066.0","56.36485","57.10731","55.59028","56.3531","99.6331","88.67562","106.17938","102.85381"
"FB","2015-11-25","106.33","106.6","105.1","105.41","15150785.0","56.30914","57.05223","55.53473","56.29775","99.4109","88.52952","106.33025","102.61698"
"FB","2015-11-24","106.0","106.49","104.39","105.74","23577293.0","56.25268","56.99631","55.47879","56.24232","99.1717","88.38502","106.47388","102.37235"
"FB","2015-11-23","107.19","107.468","106.08","106.95","19897220.0","56.19647","56.94038","55.42352","56.18639","98.9149","88.23227","106.54992","102.10469"
"FB","2015-11-20","106.84","107.87","106.62","107.32","22129648.0","56.13878","56.88322","55.36622","56.12896","98.6221","88.06972","106.44438","101.77811"
