Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TWAP-Open,TWAP-High,TWAP-Low,TWAP-Close,SMA-50,SMA-200,LWMA-15,LWMA-50
2015-05-14,78.94,81.845,78.67,81.37,49437996,0,1,78.94,81.845,78.67,81.37,49437996,49.80949,50.49324,49.08804,49.77611,81.03180,77.52109,78.84800,80.80405
2015-05-13,77.72,78.53,77.65,78.44,21512309,0,1,77.72,78.53,77.65,78.44,21512309,49.77064,50.45144,49.04860,49.73398,81.02230,77.48279,78.59400,80.79042
2015-05-12,77.87,77.89,76.79,77.46,21285310,0,1,77.87,77.89,76.79,77.46,21285310,49.73333,50.41395,49.01041,49.69566,81.04550,77.46519,78.75783,80.89259
2015-05-11,78.48,79.03,77.93,78.01,18874054,0,1,78.48,79.03,77.93,78.01,18874054,49.69571,50.37722,48.97328,49.65854,81.09130,77.45384,79.09550,81.03500
2015-05-08,79.1,79.23,78.03,78.51,19943595,0,1,79.1,79.23,78.03,78.51,19943595,49.65718,50.33886,48.93451,49.62059,81.11050,77.43869,79.40675,81.15658
2015-05-07,78,78.94,77.56,78.425,19749428,0,1,78,78.94,77.56,78.425,19749428,49.61771,50.30014,48.89551,49.58186,81.14850,77.40259,79.67438,81.26005
2015-05-06,77.97,78.81,77.05,78.1,28663026,0,1,77.97,78.81,77.05,78.1,28663026,49.57962,50.26169,48.85703,49.54315,81.17120,77.35682,79.98500,81.36775
2015-05-05,78.55,78.8,77.22,77.56,22311318,0,1,78.55,78.8,77.22,77.56,22311318,49.54146,50.22332,48.81914,49.50476,81.17820,77.31332,80.37463,81.48846
2015-05-04,79.33,79.69,78.6301,78.81,14691991,0,1,79.33,79.69,78.6301,78.81,14691991,49.50241,50.18486,48.78092,49.46700,81.20380,77.26762,80.88138,81.63136
2015-05-01,79.24,79.76,78.11,78.99,24136358,0,1,79.24,79.76,78.11,78.99,24136358,49.46221,50.14510,48.74069,49.42746,81.22550,77.20561,81.26688,81.72608
2015-04-30,80.01,80.96,78.32,78.77,28999005,0,1,80.01,80.96,78.32,78.77,28999005,49.42203,50.10513,48.70105,49.38756,81.23410,77.14896,81.65529,81.81409
2015-04-29,80.01,81.39,79.52,80.465,26430258,0,1,80.01,81.39,79.52,80.465,26430258,49.38069,50.06343,48.66103,49.34786,81.19290,77.09094,82.09954,81.90910
2015-04-28,81.83,81.9,80.23,80.68,23775344,0,1,81.83,81.9,80.23,80.68,23775344,49.33925,50.02104,48.61927,49.30575,81.09560,77.02811,82.34700,81.93383
2015-04-27,81.87,82.93,81.63,81.91,25446032,0,1,81.87,82.93,81.63,81.91,25446032,49.29522,49.97785,48.57644,49.26324,80.99680,76.95641,82.58125,81.94625
2015-04-24,82.77,82.94,81.48,81.53,29660356,0,1,82.77,82.94,81.48,81.53,29660356,49.25102,49.93314,48.53159,49.21894,80.88320,76.87123,82.66617,81.90599
2015-04-23,84.1,85.59,82.41,82.41,73728080,0,1,84.1,85.59,82.41,82.41,73728080,49.20548,49.88829,48.48682,49.17504,80.78280,76.78843,82.79879,81.87669
2015-04-22,84.32,84.74,83.65,84.63,45547963,0,1,84.32,84.74,83.65,84.63,45547963,49.15800,49.83972,48.44067,49.12982,80.63840,76.69018,82.81521,81.80721
2015-04-21,84,84.49,83.54,83.62,27171852,0,1,84,84.49,83.54,83.62,27171852,49.11010,49.79217,48.39270,49.08146,80.43460,76.59348,82.53400,81.64269
2015-04-20,81.54,83.15,81.24,83.09,28796761,0,1,81.54,83.15,81.24,83.09,28796761,49.06250,49.74483,48.34475,49.03434,80.25160,76.50683,82.37550,81.51059
2015-04-17,81.48,82.11,80.37,80.775,24214983,0,1,81.48,82.11,80.37,80.775,24214983,49.01813,49.69920,48.29981,48.98781,80.10210,76.42363,82.28500,81.39342
2015-04-16,82.47,83.07,82.15,82.31,13769687,0,1,82.47,83.07,82.15,82.31,13769687,48.97373,49.65486,48.25594,48.94433,79.99920,76.36005,82.50250,81.36300
2015-04-15,83.55,83.66,82.27,82.705,22390943,0,1,83.55,83.66,82.27,82.705,22390943,48.92784,49.60908,48.20951,48.89862,79.86100,76.28495,82.53321,81.26696
